level,iteration,eval_metric,paramkey,cv_score,best_nrounds
01,0073,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=5---subsample=0.4---colsample_bytree=0.7---lambda=0---alpha=0---gamma=4---max_delta_step=0---scale_pos_weight=1---nthread=4,0.1556844,143
01,0074,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=3---subsample=0.4---colsample_bytree=0.9---lambda=0---alpha=0---gamma=4---max_delta_step=1---scale_pos_weight=10---nthread=4,0.5948918,819
01,0075,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=7---subsample=0.9---colsample_bytree=0.5---lambda=0---alpha=1---gamma=4---max_delta_step=0---scale_pos_weight=10---nthread=4,0.5877772,32
01,0076,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=5---subsample=0.6---colsample_bytree=0.9---lambda=0---alpha=1---gamma=0---max_delta_step=0---scale_pos_weight=1---nthread=4,0.5770232,39
01,0077,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=3---subsample=0.4---colsample_bytree=0.5---lambda=0---alpha=0---gamma=0---max_delta_step=0---scale_pos_weight=10---nthread=4,0.6276866,177
01,0078,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=7---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=0---gamma=4---max_delta_step=0---scale_pos_weight=10---nthread=4,0.2670036,2000
01,0079,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=5---subsample=0.9---colsample_bytree=0.7---lambda=1---alpha=0---gamma=0---max_delta_step=0---scale_pos_weight=20---nthread=4,0.635987,116
01,0080,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=3---subsample=0.9---colsample_bytree=0.5---lambda=0---alpha=0---gamma=2---max_delta_step=1---scale_pos_weight=20---nthread=4,0.562903,2000
01,0081,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=3---subsample=0.9---colsample_bytree=0.7---lambda=0---alpha=1---gamma=2---max_delta_step=0---scale_pos_weight=10---nthread=4,0.6298144,1795
01,0082,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=5---subsample=0.4---colsample_bytree=0.7---lambda=0---alpha=1---gamma=2---max_delta_step=1---scale_pos_weight=10---nthread=4,0.3433306,547
01,0083,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=5---subsample=0.6---colsample_bytree=0.9---lambda=1---alpha=0---gamma=4---max_delta_step=0---scale_pos_weight=20---nthread=4,0.5475772,2000
01,0084,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=5---subsample=0.9---colsample_bytree=0.7---lambda=0---alpha=1---gamma=4---max_delta_step=0---scale_pos_weight=1---nthread=4,0.6260322,89
01,0085,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=7---subsample=0.9---colsample_bytree=0.5---lambda=1---alpha=1---gamma=2---max_delta_step=0---scale_pos_weight=10---nthread=4,0.3199058,2000
01,0086,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=7---subsample=0.4---colsample_bytree=0.7---lambda=0---alpha=0---gamma=2---max_delta_step=0---scale_pos_weight=1---nthread=4,0.6160024,62
01,0087,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=3---subsample=0.4---colsample_bytree=0.7---lambda=1---alpha=1---gamma=4---max_delta_step=1---scale_pos_weight=10---nthread=4,0.3517454,158
01,0088,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=7---subsample=0.6---colsample_bytree=0.9---lambda=0---alpha=1---gamma=0---max_delta_step=1---scale_pos_weight=20---nthread=4,0.6211494,99
01,0089,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=5---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=0---gamma=0---max_delta_step=1---scale_pos_weight=1---nthread=4,0.626381,1157
01,0090,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=7---subsample=0.9---colsample_bytree=0.5---lambda=1---alpha=1---gamma=2---max_delta_step=1---scale_pos_weight=1---nthread=4,0.1549544,162
01,0091,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=5---subsample=0.9---colsample_bytree=0.7---lambda=1---alpha=0---gamma=2---max_delta_step=0---scale_pos_weight=1---nthread=4,0.6275118,76
01,0092,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=5---subsample=0.9---colsample_bytree=0.5---lambda=0---alpha=1---gamma=2---max_delta_step=0---scale_pos_weight=20---nthread=4,0.603623,54
01,0093,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=3---subsample=0.6---colsample_bytree=0.9---lambda=1---alpha=0---gamma=2---max_delta_step=1---scale_pos_weight=10---nthread=4,0.3451046,742
01,0094,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=5---subsample=0.9---colsample_bytree=0.7---lambda=1---alpha=1---gamma=4---max_delta_step=0---scale_pos_weight=20---nthread=4,0.6359746,222
